state,city,Toposheet_1,Toposheet_2,Toposheet_3,Toposheet_4,SO2_MIN,SO2_MAX,SO2_AVG,NO2_MIN,NO2_MAX,NO2_AVG,PM10_MIN,PM10_MAX,PM10_AVG,PM2.5_MIN,PM2.5_MAX,PM2.5_AVG
AndhraPradesh,Anantapur,D43L10,,,,4,11.5,5.25,9.75,22.5,15,24.5,120.25,66.75,13.25,51.25,29.75
AndhraPradesh,Chittoor,D44N04,,,,3.6,9.4,5,10.2,38.2,19.2,23.6,89.8,54.2,9.667,52,26.333
AndhraPradesh,Eluru,E44V02,,,,4,6,5,16.25,28.75,19,48,88.5,63.25,13.5,31.5,19
AndhraPradesh,Guntur,E44U07,,,,4,5.5,5,16.75,24.75,19,35.25,153.25,52.75,15.75,37.5,22.75
AndhraPradesh,Kadapa,D44G15,,,,4,15.4,5.2,9.8,22.8,14.8,19.8,109.2,53.4,9.333,53,25.667
AndhraPradesh,Kakinada,E44W01,E44W05,,,4,12.75,8.25,10,26.75,18.75,16.5,197.25,61,6,62.25,19.75
AndhraPradesh,Kurnool,D44A01,,,,4,12.5,5.25,10,25.25,15,21,112.25,61,12.25,52.5,29.5
AndhraPradesh,Nellore,D44H15,,,,4,5.75,5,15.5,25.5,19,41,78,65.75,26.5,37.5,32.5
AndhraPradesh,Ongole,D44C03,D44C02,,,4,5.75,5,15.75,26,19,33.75,72.5,59.25,10.333,36.333,24.667
AndhraPradesh,Rajahmundry,E44V13,E44P16,,,4.5,14.25,8.25,10.5,27.5,18.25,16.75,189.75,61.75,8,118,34
AndhraPradesh,Srikakulam,E44L15,,,,5.2,12.2,8,12.25,28,18.5,25.5,154.75,66.75,10,95,36
AndhraPradesh,Tirupati,D44N06,,,,4,7,5,10.5,23.75,15.25,17.75,82,53.25,15.333,38.333,31
AndhraPradesh,Vijaywada,E44U10,E44U11,,,4.111,6.889,5,14.667,29.556,19,41.667,95.556,72.667,17.667,42,26.667
AndhraPradesh,Vishakhapatnam,E44R05,E44R06,,,5.222,12.667,8.222,11.667,29.889,19.333,29.333,172.333,75.667,8.222,83.111,32.667
AndhraPradesh,Vizianagaram,E44L08,,,,5.25,12.75,8,11.75,28.5,19.25,38.5,102.5,67,8,58,35
ArunachalPradesh,Itanagar,G46D12,,,,2,10,3,5,17,7,10,228,97,,,
Assam,Bongaigaon,G46G11,,,,3,11.5,4,10,19,12,26,96,44,,,
Assam,Daranga,G46H09,,,,4,11,7,10,21,14,17,134,53,,,
Assam,Dibrugarh,G46E15,,,,4,9,5,9,18,11,15,125,36,,,
Assam,Golaghat,G46J14,,,,4,8,6,9,16,12,17,85,45,,,
Assam,Guwahati,G46H12,,,,5.333,14.167,7.833,10.5,28.333,15.5,21.833,229.667,96.667,13,48.333,26.667
Assam,Margherita,G46F11,,,,4,9,6,9,18,12,16,93,48,,,
Assam,Nagaon,G46I11,,,,5,10,7,11,20,15,35,269,105,,,
Assam,Nalbari,G46H07,,,,4,10,7,11,18,14,37,184,87,,,
Assam,NorthLakhimpur,G46E04,,,,5,10,7,11,17,14,18,131,56,,,
Assam,Silchar,G46U13,,,,5,8.5,6.5,9,13.5,10.5,35.5,57.5,46.5,,,
Assam,Sivasagar,G46K09,,,,4.5,8.5,6.5,9.5,17.5,13,18,115.5,55.5,,,
Assam,Tezpur,G46I14,,,,6,10,7,11,20,15,24,189,98,,,
Assam,Tinsukia,G46F06,,,,4,8.333,6,8,17,12.333,15.667,89,44.667,,,
Bihar,Begusarai,G45O03,,,,9,19,12,16,39,22,37,164,117,19,114,55
Bihar,Darbhanga,G45H16,,,,12,22,15,18,32,24,35,267,123,,,
Bihar,Gaya,G45S13,G45T01,,,6,15,11,15,34,21,13,145,71,,,
Bihar,Muzaffarpur,G45H08,,,,10,22,14,19,49,31,40,414,152,19,304,101
Bihar,Patna,G45N02,,,,2,10.5,3,21,91,51,38.5,638.5,237.5,,,
Bihar,Rajgir,G45N08,,,,5,15,10,16,30,21,12,136,69,,,
Bihar,Sasaram,G44X13,G45S01,,,6,13,10,16,27,20,12,116,61,,,
Chandigarh,Chandigarh,H43K10,H43K14,,,2,2,2,7.4,52.4,18.6,19.8,294.8,96.6,11.6,203.2,63.2
Chattisgarh,Bilaspur,F44K04,,,,4,7,6,10,14,12,28,64,47,13,38,27
Chattisgarh,Durg-Bhillainagar,F44P08,,,,5.5,9.25,7,13.25,21,17,65.25,87.25,78.75,29.5,53,42
Chattisgarh,Korba,F44K11,,,,5.667,11.333,8,16,25,18.667,35,84.333,58.333,13.333,47,29.667
Chattisgarh,Raipur,F44P12,F44P11,,,12,22,16,19.5,38,29.5,43,93.5,68.5,,,
Dadra&NagarHaveliandDaman&Diu,Daman,F43S15,,,,8.5,38,22,8.5,38,24.5,25,140.5,95.5,11.5,58,36
Dadra&NagarHaveliandDaman&Diu,Silvassa,F43T03,,,,10.5,41,25.5,10.5,42.5,27,53.5,158.5,105,18.5,59.5,39.5
Delhi,Delhi,H43X02,H43X06,,,3.333,16.444,4.667,24,152.111,70.556,37.111,577.333,198.778,13,480.667,105
Goa,Amona,D43B14,,,,9,12,11,13,16,14,32,166,72,16,120,38
Goa,Assonora,D43B14,,,,9,12,11,13,16,14,22,129,57,13,61,30
Goa,Bicholim,D43B14,,,,9,12,11,13,17,14,32,169,63,12,63,31
Goa,Codli,D43C03,,,,9,12,10,11,17,14,30,160,60,14,81,32
Goa,Cuncolim,D43B16,,,,9,13,11,13,17,14,32,182,80,15,77,38
Goa,Honda,D43C02,,,,9,12,11,13,16,14,30,112,63,15,69,32
Goa,Mapusa,D43B14,,,,2,7,3,5,31,10,14,268,72,,,
Goa,Margao,D43B15,D43C03,,,9,13,11,13,16,14,31,198,59,15,78,30
Goa,Panaji,D43B15,,,,2,17,3,5,31,13,14,518,87,4,166,50
Goa,Ponda,D43C03,,,,9,12,11,13,16,14,31,203,66,16,85,33
Goa,Sanguem,D43C04,,,,9,12,11,13,17,14,32,145,57,15,68,29
Goa,Tilamol,D43C04,,,,10,13,11,13,16,14,29,139,67,15,90,35
Goa,Usgao,D43C03,,,,9,12,11,13,17,14,32,152,64,17,99,33
Goa,Vasco,D43B15,,,,2,11,3,5,29,13,16,377,81,5,114,41
Gujarat,Ahmedabad,F43G09,F43A12,,,12.556,35.444,20.222,16.8,51.3,25.4,73.1,362.6,137.6,17,109.889,37.111
Gujarat,Ankleshwar,F43N02,,,,12.5,35.5,19.5,16.5,45.5,25.5,57,226,114.5,21,68.5,36
Gujarat,Jamnagar,F42K03,,,,11,39,19,14,43,25,57,267,123,14,85,34
Gujarat,Rajkot,F42K15,,,,12.5,38,20,17,48.5,25.5,62,294,126.5,15,90.5,35
Gujarat,Surat,F43M16,,,,11,44,23.667,14.333,50.667,27,64,288,127.667,15.667,90,40
Gujarat,Vadodara,F43H03,,,,11.6,42.4,20.4,14.8,51.2,25.6,62.6,329.6,130.8,17.2,97.8,37
Gujarat,Vapi,F43S15,,,,9,36.5,19.5,10,51.5,24.5,44.5,300,119.5,14.5,93.5,40
