location,AQI,AQI Category,Custom AQI Category
AndhraPradesh-Anantapur,88.11802575107296,MODERATE,MODERATE
AndhraPradesh-Chittoor,80.93206008583691,MODERATE,MODERATE
AndhraPradesh-Eluru,65.5107296137339,MODERATE,GOOD
AndhraPradesh-Guntur,73.3969957081545,MODERATE,GOOD
AndhraPradesh-Kadapa,79.53145922746782,MODERATE,MODERATE
AndhraPradesh-Kakinada,67.08798283261802,MODERATE,GOOD
AndhraPradesh-Kurnool,87.59227467811158,MODERATE,MODERATE
AndhraPradesh-Nellore,93.90128755364807,MODERATE,MODERATE
AndhraPradesh-Ongole,77.42845493562233,MODERATE,MODERATE
AndhraPradesh-Rajahmundry,97.05579399141632,MODERATE,MODERATE
AndhraPradesh-Srikakulam,101.4308093994778,UNHEALTHY,MODERATE
AndhraPradesh-Tirupati,90.74678111587984,MODERATE,MODERATE
AndhraPradesh-Vijaywada,81.63446351931331,MODERATE,MODERATE
AndhraPradesh-Vishakhapatnam,94.25248927038626,MODERATE,MODERATE
AndhraPradesh-Vizianagaram,99.1587982832618,MODERATE,MODERATE
ArunachalPradesh-Itanagar,71.78787878787878,MODERATE,GOOD
Assam-Bongaigaon,40.74074074074074,GOOD,GOOD
Assam-Daranga,49.07407407407408,GOOD,GOOD
Assam-Dibrugarh,33.33333333333333,GOOD,GOOD
Assam-Golaghat,41.66666666666667,GOOD,GOOD
Assam-Guwahati,81.63446351931331,MODERATE,MODERATE
Assam-Margherita,44.44444444444444,GOOD,GOOD
Assam-Nagaon,75.74747474747474,MODERATE,MODERATE
Assam-Nalbari,66.83838383838383,MODERATE,GOOD
Assam-NorthLakhimpur,51.494949494949495,MODERATE,GOOD
Assam-Silchar,43.05555555555556,GOOD,GOOD
Assam-Sivasagar,51.24747474747475,MODERATE,GOOD
Assam-Tezpur,72.28282828282829,MODERATE,GOOD
Assam-Tinsukia,41.35833333333333,GOOD,GOOD
Bihar-Begusarai,117.80156657963448,UNHEALTHY,MODERATE
Bihar-Darbhanga,84.65656565656565,MODERATE,MODERATE
Bihar-Gaya,58.91919191919192,MODERATE,GOOD
Bihar-Muzaffarpur,157.4360313315927,UNHEALTHY,UNHEALTHY
Bihar-Patna,142.0427135678392,UNHEALTHY,UNHEALTHY
Bihar-Rajgir,57.92929292929293,MODERATE,GOOD
Bihar-Sasaram,53.96969696969697,MODERATE,GOOD
Chandigarh-Chandigarh,124.8668407310705,UNHEALTHY,MODERATE
Chattisgarh-Bilaspur,82.33476394849785,MODERATE,MODERATE
Chattisgarh-Durg-Bhillainagar,106.60052219321148,UNHEALTHY,MODERATE
Chattisgarh-Korba,87.9434763948498,MODERATE,MODERATE
Chattisgarh-Raipur,57.68181818181818,MODERATE,GOOD
Dadra&NagarHaveliandDaman&Diu-Daman,101.4308093994778,UNHEALTHY,MODERATE
Dadra&NagarHaveliandDaman&Diu-Silvassa,104.44647519582246,UNHEALTHY,MODERATE
Delhi-Delhi,160.88250652741513,UNHEALTHY,UNHEALTHY
Goa-Amona,103.15404699738905,UNHEALTHY,MODERATE
Goa-Assonora,88.64377682403433,MODERATE,MODERATE
Goa-Bicholim,90.74678111587984,MODERATE,MODERATE
Goa-Codli,92.84978540772532,MODERATE,MODERATE
Goa-Cuncolim,103.15404699738905,UNHEALTHY,MODERATE
Goa-Honda,92.84978540772532,MODERATE,MODERATE
Goa-Mapusa,59.41414141414141,MODERATE,GOOD
Goa-Margao,88.64377682403433,MODERATE,MODERATE
Goa-Panaji,113.4934725848564,UNHEALTHY,MODERATE
Goa-Ponda,94.9527896995708,MODERATE,MODERATE
Goa-Sanguem,86.54077253218884,MODERATE,MODERATE
Goa-Tilamol,99.1587982832618,MODERATE,MODERATE
Goa-Usgao,94.9527896995708,MODERATE,MODERATE
Goa-Vasco,105.73890339425589,UNHEALTHY,MODERATE
Gujarat-Ahmedabad,102.3880678851175,UNHEALTHY,MODERATE
Gujarat-Ankleshwar,101.4308093994778,UNHEALTHY,MODERATE
Gujarat-Jamnagar,97.05579399141632,MODERATE,MODERATE
Gujarat-Rajkot,99.1587982832618,MODERATE,MODERATE
Gujarat-Surat,104.87728459530028,UNHEALTHY,MODERATE
Gujarat-Vadodara,102.29242819843344,UNHEALTHY,MODERATE
Gujarat-Vapi,104.87728459530028,UNHEALTHY,MODERATE
HimachalPradesh-Baddi,97.19512121212122,MODERATE,MODERATE
HimachalPradesh-Damtal,68.66523605150215,MODERATE,GOOD
HimachalPradesh-Dharamshala,58.15021459227468,MODERATE,GOOD
HimachalPradesh-Manali,71.8197424892704,MODERATE,GOOD
HimachalPradesh-Nalagarh,85.64646464646464,MODERATE,MODERATE
HimachalPradesh-PaontaSahib,104.01566579634463,UNHEALTHY,MODERATE
HimachalPradesh-Parwanoo,64.45922746781116,MODERATE,GOOD
HimachalPradesh-Shimla,80.23175965665237,MODERATE,MODERATE
HimachalPradesh-SunderNagar,103.15404699738905,UNHEALTHY,MODERATE
HimachalPradesh-Vashisht,44.44444444444444,GOOD,GOOD
Jammu&Kashmir-Jammu,104.87728459530028,UNHEALTHY,MODERATE
Jharkhand-Barajamda,61.39393939393939,MODERATE,GOOD
Jharkhand-Dhanbad,141.62830653266332,UNHEALTHY,UNHEALTHY
Jharkhand-Jamshedpur,92.32828282828282,MODERATE,MODERATE
Jharkhand-Jharia,174.13065326633165,UNHEALTHY,UNHEALTHY
Jharkhand-Ranchi,77.72727272727272,MODERATE,MODERATE
Jharkhand-Saraikela,90.5959595959596,MODERATE,MODERATE
Karnataka-Bagalkote,86.54077253218884,MODERATE,MODERATE
Karnataka-Bangalore,93.63841201716738,MODERATE,MODERATE
Karnataka-Belgaum,103.15404699738905,UNHEALTHY,MODERATE
Karnataka-Bidar,104.01566579634463,UNHEALTHY,MODERATE
Karnataka-Bijapur,104.01566579634463,UNHEALTHY,MODERATE
Karnataka-Chitradurga,48.14814814814815,GOOD,GOOD
Karnataka-Devangere,59.20171673819743,MODERATE,GOOD
Karnataka-Gulbarga,110.04699738903396,UNHEALTHY,MODERATE
Karnataka-Hassan,78.12875536480686,MODERATE,MODERATE
Karnataka-Dharwad,71.8197424892704,MODERATE,GOOD
Karnataka-Kolar,84.43776824034336,MODERATE,MODERATE
Karnataka-Mandya,39.81481481481482,GOOD,GOOD
Karnataka-Mangalore,84.43776824034336,MODERATE,MODERATE
Karnataka-Mysore,80.23175965665237,MODERATE,MODERATE
Karnataka-Raichur,60.4040404040404,MODERATE,GOOD
Karnataka-Shimoga,34.285714285714285,GOOD,GOOD
Karnataka-Tumkur,60.898989898989896,MODERATE,GOOD
Kerala-Alappuzha,51.494949494949495,MODERATE,GOOD
Kerala-Kochi,92.84978540772532,MODERATE,MODERATE
Kerala-Kollam,42.129629629629626,GOOD,GOOD
Kerala-Kottayam,32.870370370370374,GOOD,GOOD
Kerala-Kozhikode,53.94420600858369,MODERATE,GOOD
Kerala-Malapuram,32.407407407407405,GOOD,GOOD
Kerala-Palakkad,47.22222222222222,GOOD,GOOD
Kerala-Pathanamthitta,31.48148148148148,GOOD,GOOD
Kerala-Thiruvananthapuram,39.351851851851855,GOOD,GOOD
Kerala-Thrissur,35.648148148148145,GOOD,GOOD
Kerala-Wayanad,25.0,GOOD,GOOD
MadhyaPradesh-Amlai,65.84848484848484,MODERATE,GOOD
MadhyaPradesh-Bhopal,103.8605527638191,UNHEALTHY,MODERATE
MadhyaPradesh-Chhindwara,101.0,UNHEALTHY,MODERATE
MadhyaPradesh-Dewas,110.04699738903396,UNHEALTHY,MODERATE
MadhyaPradesh-Gwalior,119.9556135770235,UNHEALTHY,MODERATE
MadhyaPradesh-Indore,102.57934725848564,UNHEALTHY,MODERATE
MadhyaPradesh-Jabalpur,65.35353535353535,MODERATE,GOOD
MadhyaPradesh-Katni,101.4308093994778,UNHEALTHY,MODERATE
MadhyaPradesh-Nagda,101.0,UNHEALTHY,MODERATE
MadhyaPradesh-Pithampur,93.90128755364807,MODERATE,MODERATE
MadhyaPradesh-Sagar,65.5107296137339,MODERATE,GOOD
MadhyaPradesh-Satna,84.9040404040404,MODERATE,MODERATE
MadhyaPradesh-Singrauli,127.8540731070496,UNHEALTHY,UNHEALTHY
MadhyaPradesh-Ujjain,124.69451697127936,UNHEALTHY,MODERATE
Maharashtra-Akola,57.76447474747475,MODERATE,GOOD
Maharashtra-Ambernath,82.18181818181819,MODERATE,MODERATE
Maharashtra-Amravati,68.15841414141414,MODERATE,GOOD
Maharashtra-Aurangabad,60.239222222222224,MODERATE,GOOD
Maharashtra-Badlapur,77.23232323232324,MODERATE,MODERATE
Maharashtra-Bhiwandi,57.76447474747475,MODERATE,GOOD
Maharashtra-Chandrapur,89.52340404040405,MODERATE,MODERATE
Maharashtra-Dombivli,76.24242424242425,MODERATE,MODERATE
Maharashtra-Jalgaon,53.474747474747474,MODERATE,GOOD
Maharashtra-Jalna,71.78787878787878,MODERATE,GOOD
Maharashtra-Kolhapur,66.01330303030304,MODERATE,GOOD
Maharashtra-Latur,66.17861616161616,MODERATE,GOOD
Maharashtra-Mumbai,104.87728459530028,UNHEALTHY,MODERATE
Maharashtra-Nagpur,104.01566579634463,UNHEALTHY,MODERATE
Maharashtra-Nashik,55.083333333333336,MODERATE,GOOD
Maharashtra-NaviMumbai,49.84537037037037,GOOD,GOOD
Maharashtra-Pune,94.55555555555554,MODERATE,MODERATE
Maharashtra-Sangli,56.77457575757576,MODERATE,GOOD
Maharashtra-Solapur,60.4040404040404,MODERATE,GOOD
Maharashtra-Thane,87.46144444444445,MODERATE,MODERATE
Maharashtra-Ulhasnagar,70.55050505050505,MODERATE,GOOD
Manipur-Imphal,104.01566579634463,UNHEALTHY,MODERATE
Meghalaya-Shillong,33.56481481481482,GOOD,GOOD
Mizoram-Aizwal,44.44444444444444,GOOD,GOOD
Nagaland-Kohima,70.55050505050505,MODERATE,GOOD
Odisha-Angul,111.33942558746736,UNHEALTHY,MODERATE
Odisha-Balasore,110.33391644908616,UNHEALTHY,MODERATE
Odisha-Berhampur,80.23175965665237,MODERATE,MODERATE
Odisha-Bhubaneshwar,87.24107296137339,MODERATE,MODERATE
Odisha-Bonaigarh,114.355091383812,UNHEALTHY,MODERATE
Odisha-Cuttack,110.62169712793734,UNHEALTHY,MODERATE
Odisha-Jharsuguda,109.18537859007832,UNHEALTHY,MODERATE
Odisha-Konark,59.41414141414141,MODERATE,GOOD
Odisha-Paradeep,117.80156657963448,UNHEALTHY,MODERATE
Odisha-Puri,117.80156657963448,UNHEALTHY,MODERATE
Odisha-Rajgangpur,120.38642297650132,UNHEALTHY,MODERATE
Odisha-Rayagada,96.00429184549355,MODERATE,MODERATE
Odisha-Rourkela,110.90861618798957,UNHEALTHY,MODERATE
Odisha-Sambalpur,111.77023498694516,UNHEALTHY,MODERATE
Odisha-Talcher,110.47780678851174,UNHEALTHY,MODERATE
Pondicherry-Pondicherry,40.43240740740741,GOOD,GOOD
Punjab-Jagraon,59.90909090909091,MODERATE,GOOD
Punjab-Amritsar,108.46231155778896,UNHEALTHY,MODERATE
Punjab-Tapa,76.73737373737374,MODERATE,MODERATE
Punjab-BaraPind,98.02020202020202,MODERATE,MODERATE
Punjab-Bhatinda,76.24242424242425,MODERATE,MODERATE
Punjab-Binjon,74.26262626262627,MODERATE,GOOD
Punjab-Bishanpura,91.5858585858586,MODERATE,MODERATE
Punjab-Changal,75.74747474747474,MODERATE,MODERATE
Punjab-Chaukiman,,,
Punjab-DeraBabaNanak,58.42424242424242,MODERATE,GOOD
Punjab-DeraBassi,72.03535353535354,MODERATE,GOOD
Punjab-Samana,70.79797979797979,MODERATE,GOOD
Punjab-Gobindgarh,93.89578787878789,MODERATE,MODERATE
Punjab-GuruKiDhab,85.15151515151516,MODERATE,MODERATE
Punjab-Batala,53.474747474747474,MODERATE,GOOD
Punjab-Jalandhar,91.33838383838383,MODERATE,MODERATE
Punjab-Khanna,105.72613065326632,UNHEALTHY,MODERATE
Punjab-Sirhind,73.27272727272728,MODERATE,GOOD
Punjab-Ajnala,87.13131313131314,MODERATE,MODERATE
Punjab-Ferozpur,87.13131313131314,MODERATE,MODERATE
Punjab-Ludhiana,99.5050505050505,MODERATE,MODERATE
Punjab-Muktsar,78.71717171717171,MODERATE,MODERATE
Punjab-Nawanshahr,90.1010101010101,MODERATE,MODERATE
Punjab-Naudhrani(Malerkotla),77.23232323232324,MODERATE,MODERATE
Punjab-NayaNangal,68.57070707070707,MODERATE,GOOD
Punjab-Patiala,74.01515151515152,MODERATE,GOOD
